,timestamp,TT66.BCTFI.660298:TOTAL_INTENSITY,TT60.BCTFI.610225:TOTAL_INTENSITY,SPS.BQM:NO_BUNCHES,SPSQC:TRANSFER_LINES_OPTICS_NAMES,s_x,s_x_std,mu_x,mu_x_std,R2_x,s_y,s_y_std,mu_y,mu_y_std,R2_y
92,2024-04-08 11:18:54.135000064,113610350000.0,110393065000.0,1.0,tt66_2023_fp2_sti_0p1_0p5mm,0.14996922783863464,0.00043762412955590296,0.488419195179766,0.00043305642302540385,0.9981103021385163,0.4431547586832316,0.0014155326012325205,-0.25738755711054867,0.001391283167145823,0.9957498239937278
93,2024-04-08 11:19:36.135000064,113523245000.0,111949320000.0,1.0,tt66_2023_fp2_sti_0p1_0p5mm,0.15091359520886438,0.00043282017708257283,0.49531793021752285,0.00042827281780918696,0.9981742830843158,0.4450400702408277,0.0014104451121912576,-0.2587805612967384,0.0013861720636507914,0.9958151799856795
94,2024-04-08 11:20:18.135000064,109879470000.0,109802270000.0,1.0,tt66_2023_fp2_sti_0p1_0p5mm,0.15043670136769904,0.0004335106759178355,0.48924466201163064,0.0004289711337884603,0.9981569684057643,0.44267571295849634,0.0014244921941270626,-0.24227658325980253,0.0014001176913410857,0.9956869443250556
95,2024-04-08 11:21:00.135000064,115381430000.0,119024500000.0,1.0,tt66_2023_fp2_sti_0p1_0p5mm,0.1502195136459232,0.00043480871660191086,0.48403799312844026,0.0004302624649737095,0.998140632511187,0.44341031133744196,0.0014218831765777267,-0.24203734881099215,0.0013975098203793711,0.9957166123777415
96,2024-04-08 11:21:42.135000064,113218390000.0,111531430000.0,1.0,tt66_2023_fp2_sti_0p1_0p5mm,0.15195947985001568,0.00042847867522013007,0.49059639380873477,0.0004239442442071223,0.9982349245920006,0.4440271338721753,0.0014711828540708491,-0.2559797779105325,0.0014459266274855743,0.9954282970022439
97,2024-04-08 11:22:24.135000064,113174840000.0,113246190000.0,1.0,tt66_2023_fp2_sti_0p1_0p5mm,0.1518483048620871,0.0004282651599938797,0.49555427379477124,0.0004237364605519097,0.9982341271788371,0.44383347981989846,0.00141839760694133,-0.25931295475049526,0.0013940589988780394,0.995745464351971
98,2024-04-08 11:24:30.135000064,101372486000.0,105594620000.0,1.0,tt66_2023_fp2_sti_0p1_0p5mm,0.17107770885718004,0.0005162777232171298,0.4884826760877886,0.0005100896429913088,0.9979737143913447,0.5519860389536223,0.0023520351243275788,-0.25553644939780074,0.002300876591352975,0.9924061273406967
99,2024-04-08 11:25:12.135000064,109908500000.0,114903320000.0,1.0,tt66_2023_fp2_sti_0p1_0p5mm,0.15065463303266693,0.0004334796170107506,0.4963434010597813,0.00042893351262717193,0.9981624979058925,0.44146901259027005,0.0014216844159268072,-0.25220244119817037,0.0013974293680087116,0.9956807967376026
100,2024-04-08 11:25:54.135000064,116049210000.0,119413560000.0,1.0,tt66_2023_fp2_sti_0p1_0p5mm,0.15106712012700474,0.00043422803671525057,0.48515112209311684,0.00042966102539914,0.9981660981904401,0.44595690998856463,0.0014588782618126612,-0.25826855574521496,0.001433715957360228,0.9955421735321982
101,2024-04-08 11:26:36.135000064,115962110000.0,118231966000.0,1.0,tt66_2023_fp2_sti_0p1_0p5mm,0.15015609546367029,0.00042247933341905074,0.48636292319581126,0.0004180639475347869,0.9982429367387391,0.4431080041588745,0.0013789286758929843,-0.25734325351869974,0.0013553089867186193,0.9959650803178511
